"Comparison","diff","lwr","upr","p adj"
"2-1",-0.00710226598827879,-0.0457524181470914,0.0315478861705338,0.995247883077118
"3-1",-0.3616154089388,-0.400265561097613,-0.322965256779988,4.33542091116124e-13
"4-1",-0.355334105263305,-0.394233005981168,-0.316435204545441,4.33542091116124e-13
"5-1",-0.278678254282705,-0.317328406441518,-0.240028102123893,4.33542091116124e-13
"6-1",-0.292588288551877,-0.331436285561062,-0.253740291542693,4.33542091116124e-13
"3-2",-0.354513142950522,-0.388984540569179,-0.320041745331864,4.33542091116124e-13
"4-2",-0.348231839275026,-0.382981910770527,-0.313481767779525,4.33542091116124e-13
"5-2",-0.271575988294426,-0.306047385913084,-0.237104590675769,4.33542091116124e-13
"6-2",-0.285486022563598,-0.320179103480545,-0.250792941646651,4.33542091116124e-13
"4-3",0.0062813036754957,-0.028468767820005,0.0410313751709964,0.995602198773919
"5-3",0.0829371546560952,0.0484657570374377,0.117408552274753,1.16412435247071e-10
"6-3",0.0690271203869233,0.0343340394699764,0.10372020130387,2.22144885042574e-07
"5-4",0.0766558509805995,0.0419057794850988,0.1114059224761,5.18610243638307e-09
"6-4",0.0627458167114276,0.0277758284548003,0.0977158049680549,4.82488775532808e-06
"6-5",-0.0139100342691719,-0.0486031151861188,0.0207830466477751,0.863369001753169
