"Comparison","diff","lwr","upr","p adj"
"2-1",-0.0148084510155306,-0.0432625316071164,0.0136456295760552,0.614507746865627
"3-1",0.085545015226973,0.0570312198150542,0.114058810638892,4.07120304135589e-09
"4-1",0.114081748980474,0.0855679535685547,0.142595544392392,4.07118050382849e-09
"5-1",-0.0556825500480116,-0.0845085951927952,-0.026856504903228,1.42735585539899e-06
"3-2",0.100353466242504,0.0718396708305848,0.128867261654422,4.07118605494361e-09
"4-2",0.128890199996004,0.100376404584085,0.157403995407923,4.0711405357996e-09
"5-2",-0.040874099032481,-0.0697001441772646,-0.0120480538876973,0.00104935921201477
"4-3",0.0285367337535005,-3.66516824793772e-05,0.0571101191894804,0.0504818419232274
"5-3",-0.141227565274985,-0.170112556276704,-0.112342574273265,4.0711405357996e-09
"5-4",-0.169764299028485,-0.198649290030204,-0.140879308026766,4.0711405357996e-09
