"Comparison","diff","lwr","upr","p adj"
"2-1",-0.0304053430883316,-0.0555851280089016,-0.00522555816776166,0.00878677269161876
"3-1",-0.0189748854451124,-0.0442075136240585,0.00625774273383373,0.241385290073362
"4-1",-0.0274001035381118,-0.052632731717058,-0.00216747535916572,0.0254558170468653
"5-1",-0.286833298647338,-0.312342245053813,-0.261324352240863,4.0711405357996e-09
"3-2",0.0114304576432193,-0.0138021705357269,0.0366630858221654,0.730058337454471
"4-2",0.00300523955021981,-0.0222273886287263,0.0282378677291659,0.997590813936854
"5-2",-0.256427955559006,-0.281936901965482,-0.230919009152531,4.0711405357996e-09
"4-3",-0.00842521809299945,-0.0337105790947279,0.016860142908729,0.893407291073828
"5-3",-0.267858413202226,-0.293419522390585,-0.242297304013867,4.0711405357996e-09
"5-4",-0.259433195109226,-0.284994304297585,-0.233872085920867,4.0711405357996e-09
