"Comparison","diff","lwr","upr","p adj"
"2-1",-0.0696761701441592,-0.107852832795881,-0.031499507492437,6.57082382815588e-06
"3-1",-0.112637653328332,-0.150894434982453,-0.0743808716742118,4.07121814038902e-09
"4-1",-0.167206388044966,-0.205463169699087,-0.128949606390846,4.0711405357996e-09
"5-1",-0.525316708463307,-0.563992433638597,-0.486640983288017,4.0711405357996e-09
"3-2",-0.0429614831841733,-0.0812182648382938,-0.00470470153005267,0.0186507043877205
"4-2",-0.097530217900807,-0.135786999554928,-0.0592734362466864,4.11219736040636e-09
"5-2",-0.455640538319148,-0.494316263494437,-0.416964813143858,4.0711405357996e-09
"4-3",-0.0545687347166337,-0.0929054679347721,-0.0162320014984953,0.000988583415122868
"5-3",-0.412679055134974,-0.451433867599263,-0.373924242670686,4.0711405357996e-09
"5-4",-0.358110320418341,-0.39686513288263,-0.319355507954052,4.0711405357996e-09
