"crop","train_genotype","metric","t_stat","df","p_value","mean_first","mean_second","mean_diff","n_first","n_second"
"corn","first_half","IoU",-0.59315772207394,4585.34919136386,0.553104857643858,0.862580692247387,0.863864527421739,0.00128383517435238,2296,2300
"corn","second_half","IoU",-0.0437759937941492,4672.26698431776,0.965084833560781,0.87095783045844,0.87104812415247,9.02936940297971e-05,2334,2348
"sorghum","first_half","IoU",-29.2780396707868,4845.50177144176,1.20106522526279e-173,0.843109319175853,0.899241818165733,0.0561324989898803,2440,3643
"sorghum","second_half","IoU",-59.612572907955,3113.2226762678,0,0.801931595288474,0.928349828892121,0.126418233603647,2320,3742
"wheat","first_half","IoU",-8.38029362935426,1959.5948725477,9.93365991997977e-17,0.812544291814168,0.838707425189032,0.0261631333748635,900,1753
"wheat","second_half","IoU",-27.7160832693621,994.106280564559,9.85370110379557e-126,0.791502216598019,0.885736131217875,0.0942339146198561,768,2436
