"Comparison","diff","lwr","upr","p adj"
"2-1",0.00802797741527839,-0.0189780737920464,0.0350340286226031,0.927250436918227
"3-1",0.0068531277171695,-0.020209599420715,0.033915854855054,0.95846436166706
"4-1",-0.0371802054611277,-0.0642429325990122,-0.0101174783232432,0.00168644455484346
"5-1",-0.249962574451562,-0.277321660919986,-0.222603487983139,4.0711405357996e-09
"3-2",-0.00117484969810888,-0.0282375768359934,0.0258878774397756,0.999955623360888
"4-2",-0.045208182876406,-0.0722709100142905,-0.0181454557385215,5.21270577574784e-05
"5-2",-0.257990551866841,-0.285349638335264,-0.230631465398417,4.0711405357996e-09
"4-3",-0.0440333331782972,-0.0711526178013571,-0.0169140485552372,9.42745245107179e-05
"5-3",-0.256815702168732,-0.284230734736898,-0.229400669600566,4.0711405357996e-09
"5-4",-0.212782368990435,-0.240197401558601,-0.185367336422268,4.0711405357996e-09
