"crop","mean_first","mean_second","n_first","n_second","statistic","parameter","p_value","conf_low","conf_high","method"
"corn",0.86680363837797,0.867493418369191,4630,4648,-0.46097624356769,9260.13196711818,0.644826475356586,-0.00362294778512178,0.00224338780267934,"Welch Two Sample t-test"
"wheat",0.802855854304574,0.86605570112273,1668,4189,-27.6295859359336,2783.97061510638,1.04327160176141e-148,-0.0676850135746877,-0.0587146800616237,"Welch Two Sample t-test"
"sorghum",0.82303950417192,0.913990928001636,4760,7385,-62.1895468907866,7716.23297500696,0,-0.0938182960018533,-0.0880845516575785,"Welch Two Sample t-test"
