"Comparison","diff","lwr","upr","p adj"
"2-1",-0.0122757848184063,-0.038402855043971,0.0138512854071584,0.702189658799948
"3-1",0.0549665925864956,0.0287846910934322,0.0811484940795591,1.12842672872482e-07
"4-1",0.0121173131975597,-0.0140645882955037,0.0382992146906232,0.713934393710017
"5-1",-0.332896000020559,-0.35936461507206,-0.306427384969059,4.0711405357996e-09
"3-2",0.0672423774049019,0.0410604759118385,0.0934242788979654,4.09971867565417e-09
"4-2",0.024393098015966,-0.00178880347709743,0.0505749995090295,0.0816454890377055
"5-2",-0.320620215202153,-0.347088830253654,-0.294151600150653,4.0711405357996e-09
"4-3",-0.0428492793889359,-0.0690858975592216,-0.0166126612186502,8.37065537377946e-05
"5-3",-0.387862592607055,-0.414385332849447,-0.361339852364663,4.0711405357996e-09
"5-4",-0.345013313218119,-0.371536053460511,-0.318490572975727,4.0711405357996e-09
