"Comparison","diff","lwr","upr","p adj"
"2-1",-0.00111566973785193,-0.0380156829940096,0.0357843435183058,0.999989523567137
"3-1",0.16121368472808,0.124236231694707,0.198191137761453,4.0711405357996e-09
"4-1",0.161656153798663,0.12467870076529,0.198633606832036,4.0711405357996e-09
"5-1",-0.229100257492187,-0.266482644336191,-0.191717870648184,4.0711405357996e-09
"3-2",0.162329354465932,0.125351901432559,0.199306807499305,4.0711405357996e-09
"4-2",0.162771823536515,0.125794370503142,0.199749276569888,4.0711405357996e-09
"5-2",-0.227984587754335,-0.265366974598339,-0.190602200910332,4.0711405357996e-09
"4-3",0.000442469070583429,-0.0366122619008593,0.0374972000420262,0.999999744436024
"5-3",-0.390313942220267,-0.427772771629172,-0.352855112811363,4.0711405357996e-09
"5-4",-0.390756411290851,-0.428215240699755,-0.353297581881946,4.0711405357996e-09
