"Term","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"test_date  ",4,3.8772001936262,0.969300048406551,69.0791441595259,1.98717993796993e-57
"Residuals  ",6883,96.5804124291871,0.0140317321559185,NA,NA
