"group","mean_diff","max","min","std_deviation"
"sorghum_1_40_All_vs_Second",-0.0126652988214205,0.0202163332500001,-0.0643223674098125,0.0175360409286936
"sorghum_41_80_All_vs_First",-0.021140607819309,0.0230299307972379,-0.0736742451309771,0.0182379527460097
"wheat_1_20_All_vs_Second",-0.0181469905733672,-0.00335524775352114,-0.0460086932982703,0.0104019323633719
"wheat_21_40_All_vs_First",-0.0269448587588147,0.0013394441662411,-0.0611517676509489,0.0239612499158512
