"Comparison","diff","lwr","upr","p adj"
"2-1",0.0973213467564671,0.0668036785278514,0.127839014985083,4.98046048846845e-13
"3-1",0.31503041535587,0.284512747127254,0.345548083584486,4.33542091116124e-13
"4-1",0.382331756674291,0.351617679749371,0.41304583359921,4.33542091116124e-13
"5-1",0.527983861810839,0.497466193582223,0.558501530039455,4.33542091116124e-13
"6-1",0.536483681047046,0.505809797042627,0.567157565051464,4.33542091116124e-13
"3-2",0.217709068599403,0.190490891771009,0.244927245427797,4.33542091116124e-13
"4-2",0.285010409917823,0.257572195743068,0.312448624092578,4.33542091116124e-13
"5-2",0.430662515054372,0.403444338225978,0.457880691882766,4.33542091116124e-13
"6-2",0.439162334290579,0.411769119151308,0.466555549429849,4.33542091116124e-13
"4-3",0.0673013413184206,0.0398631271436656,0.0947395554931756,4.59781102080115e-11
"5-3",0.212953446454969,0.185735269626575,0.240171623283363,4.33542091116124e-13
"6-3",0.221453265691176,0.194060050551905,0.248846480830447,4.33542091116124e-13
"5-4",0.145652105136548,0.118213890961793,0.173090319311303,4.33542091116124e-13
"6-4",0.154151924372755,0.126540066722383,0.181763782023127,4.33542091116124e-13
"6-5",0.00849981923620668,-0.0188933959030642,0.0358930343754775,0.950304366095417
