"Comparison","diff","lwr","upr","p adj"
"2-1",0.027934364283251,0.0133542936218723,0.0425144349446298,1.7577090344334e-06
"3-1",0.021123276299138,0.00679749019109042,0.0354490624071856,0.00055574249034418
"4-1",0.010784163861045,-0.00352765657238477,0.0250959842944747,0.239616154370317
"5-1",0.0787648226077252,0.0644107932168231,0.0931188519986273,4.42068603945245e-12
"3-2",-0.00681108798411301,-0.0209292744957608,0.0073070985275348,0.681051001026364
"4-2",-0.0171502004222061,-0.0312542156973992,-0.00304618514701291,0.00811107199504679
"5-2",0.0508304583244742,0.0366836140643918,0.0649773025845566,4.47164527628274e-12
"4-3",-0.010339112438093,-0.0241800999030687,0.00350187502688263,0.247819885873173
"5-3",0.0576415463085872,0.0437569184906816,0.0715261741264928,4.42534897615587e-12
"5-4",0.0679806587466802,0.0541104407906795,0.081850876702681,4.42068603945245e-12
