"Comparison","diff","lwr","upr","p adj"
"2-1",0.0288971891033982,0.0140765175014062,0.0437178607053903,1.0653044587583e-06
"3-1",0.0328929079963451,0.0183307171621016,0.0474550988305887,7.53421736110482e-09
"4-1",-0.0218388465525646,-0.0363868412500391,-0.00729085185509014,0.000409125268446497
"5-1",0.0333006067698992,0.018709706580957,0.0478915069588414,5.02820152181727e-09
"3-2",0.00399571889294692,-0.0103554465276066,0.0183468843135004,0.942018716910846
"4-2",-0.0507360356559629,-0.0650727959857204,-0.0363992753262053,4.46787051799902e-12
"5-2",0.00440341766650099,-0.00997687841385973,0.0187837137468617,0.919616147342382
"4-3",-0.0547317545489098,-0.0688011465724389,-0.0406623625253807,4.46809256260394e-12
"5-3",0.000407698773554066,-0.0137060537578485,0.0145214513049566,0.999991279644584
"5-4",0.0551394533224638,0.0410403484451147,0.069238558199813,4.46709336188178e-12
