"Comparison","diff","lwr","upr","p adj"
"2-1",-0.00126830160361102,-0.0368505029388931,0.0343138997316711,0.99997978854468
"3-1",-0.0101163764909635,-0.0457732519930299,0.0255404990111029,0.938038209600369
"4-1",-0.103623927763092,-0.139280803265158,-0.0679670522610255,4.07123135204301e-09
"5-1",-0.470672618915755,-0.506719966808096,-0.434625271023413,4.0711405357996e-09
"3-2",-0.00884807488735251,-0.0445049503894189,0.0268088006147139,0.961372659049554
"4-2",-0.102355626159481,-0.138012501661547,-0.0666987506574145,4.07125200219127e-09
"5-2",-0.469404317312144,-0.505451665204485,-0.433356969419802,4.0711405357996e-09
"4-3",-0.0935075512721284,-0.129238944881603,-0.0577761576626542,4.08227229797831e-09
"5-3",-0.460556242424791,-0.496677302885093,-0.424435181964489,4.0711405357996e-09
"5-4",-0.367048691152663,-0.403169751612965,-0.33092763069236,4.0711405357996e-09
