"Comparison","diff","lwr","upr","p adj"
"2-1",0.0119843756959302,-0.00695765551494285,0.0309264069068033,0.417732367608846
"3-1",-0.0368993921319917,-0.0555110637679691,-0.0182877204960142,6.50646178601555e-07
"4-1",-0.127331657077089,-0.145925184888483,-0.108738129265695,4.42068603945245e-12
"5-1",-0.0205760677391341,-0.0392244322799508,-0.00192770319831741,0.0220045093944802
"3-2",-0.0488837678279219,-0.0672257317151718,-0.030541803940672,8.39439628919081e-12
"4-2",-0.139316032773019,-0.157639585775339,-0.1209924797707,4.42068603945245e-12
"5-2",-0.0325604434350644,-0.0509396386895613,-0.0141812481805675,1.35286043660976e-05
"4-3",-0.0904322649450975,-0.108414099371,-0.0724504305191949,4.42068603945245e-12
"5-3",0.0163233243928576,-0.00171520639251069,0.0343618551782258,0.0978349316502932
"5-4",0.106755589337955,0.088735779453211,0.124775399222699,4.42068603945245e-12
