"crop","genotype_min","genotype_max","n_min","n_max","t_stat","df","p_value","conf_low","conf_high","mean_min","mean_max"
"corn","30","122",2,10,-6.31752988472207,3.06863036080572,0.00749013208875905,-0.135754792272055,-0.045561713727945,0.83616817,0.926826423
"sorghum","39","80",20,28,-20.800044496448,24.1071188395412,6.58272761251334e-17,-0.113573154036871,-0.0930733359631295,0.855267115,0.95859036
"wheat","29","40",14,30,-11.1005862224414,25.5941449821123,2.80462412515418e-11,-0.0942985242732857,-0.0648126642029047,0.831264196428571,0.910819790666667
