"Comparison","diff","lwr","upr","p adj"
"2-1",0.159848445378401,0.124457200971035,0.195239689785767,4.33542091116124e-13
"3-1",0.36756030886466,0.332169064457294,0.402951553272027,4.33542091116124e-13
"4-1",0.37896754374172,0.343348524783476,0.414586562699965,4.33542091116124e-13
"5-1",0.177548466253609,0.142157221846243,0.212939710660976,4.33542091116124e-13
"6-1",-0.0552107671849328,-0.0907831745389671,-0.0196383598308986,0.000143408755713059
"3-2",0.207711863486259,0.17614702893729,0.239276698035229,4.33542091116124e-13
"4-2",0.219119098363319,0.187299087191893,0.250939109534745,4.33542091116124e-13
"5-2",0.0177000208752083,-0.0138648136737613,0.0492648554241778,0.599537603929633
"6-2",-0.215059212563334,-0.246827038494033,-0.183291386632634,4.33542091116124e-13
"4-3",0.0114072348770599,-0.0204127762943659,0.0432272460484857,0.910744758099748
"5-3",-0.190011842611051,-0.221576677160021,-0.158447008062082,4.33542091116124e-13
"6-3",-0.422771076049593,-0.454538901980293,-0.391003250118894,4.33542091116124e-13
"5-4",-0.201419077488111,-0.233239088659537,-0.169599066316685,4.33542091116124e-13
"6-4",-0.434178310926653,-0.466199695893719,-0.402156925959587,4.33542091116124e-13
"6-5",-0.232759233438542,-0.264527059369242,-0.200991407507843,4.33542091116124e-13
