crop,collectiondate,genotype,individual_id,augmented?,modelname,IoU,Dice,Precision,Recall,F1,MAE,Hausdorff,PixelAccuracy
wheat,1,10,1,no,U-NET,0.781054,0.8770694,0.7961376308989528,0.97631754503002,0.8770694434040003,0.006259918,127.9531164137865,0.9937400817871094
wheat,1,10,10,no,U-NET,0.87413466,0.9328408,0.937246963562753,0.928475935828877,0.9328408327736736,0.0030517578,9.486832980505138,0.9969482421875
wheat,1,10,10,yes,U-NET,0.8987017,0.94664866,0.9564994882292733,0.9369986631016043,0.9466486577747762,0.0024108887,7.615773105863909,0.997589111328125
wheat,1,10,10,yes,U-NET,0.88675416,0.9399785,0.9314191960623461,0.9486965240641712,0.9399784750393244,0.0027656555,8.94427190999916,0.9972343444824219
wheat,1,10,10,yes,U-NET,0.884186,0.9385337,0.9244610147511753,0.9530414438502673,0.9385336953838559,0.0028495789,8.246211251235321,0.9971504211425781
wheat,1,10,10,yes,U-NET,0.87515724,0.93342274,0.9367216425445978,0.9301470588235294,0.9334227737715914,0.0030288696,9.486832980505138,0.9969711303710938
wheat,1,10,10,yes,U-NET,0.054812834,0.10392902,1.0,0.05481283422459893,0.10392902408111533,0.021575928,101.59724405711013,0.978424072265625
wheat,1,10,1,yes,U-NET,0.8301241,0.9071779,0.8514996342355523,0.970647098065377,0.9071779284545242,0.0045433044,126.57408897558773,0.9954566955566406
wheat,1,10,1,yes,U-NET,0.84526557,0.9161452,0.8626988803771362,0.9766511007338226,0.9161451814768461,0.0040893555,125.00399993600205,0.99591064453125
wheat,1,10,1,yes,U-NET,0.8957055,0.94498384,0.9176618478944061,0.9739826551034023,0.9449838187702265,0.0025939941,122.65398485169571,0.997406005859375
wheat,1,10,1,yes,U-NET,0.7056137,0.8274015,0.7164652752349566,0.9789859906604403,0.8274015082105857,0.009342194,166.1836333698358,0.9906578063964844
wheat,1,10,1,yes,U-NET,0.8019361,0.8900827,0.9106613156517187,0.8704136090727151,0.8900827151019016,0.004917145,12.041594578792296,0.9950828552246094
wheat,1,10,5,no,U-NET,0.9192838,0.95794463,0.9486597001363016,0.9674131274131275,0.9579446398531886,0.0020980835,4.123105625617661,0.9979019165039062
wheat,1,10,5,yes,U-NET,0.89476717,0.94446135,0.9307242465137202,0.9586100386100386,0.9444613511868534,0.002784729,11.40175425099138,0.9972152709960938
wheat,1,10,5,yes,U-NET,0.90603447,0.95070106,0.9285819466941541,0.9738996138996139,0.9507010402532791,0.002494812,11.313708498984761,0.9975051879882812
wheat,1,10,5,yes,U-NET,0.85552067,0.9221354,0.9633243606998654,0.8843243243243243,0.9221354376358805,0.0036888123,22.135943621178654,0.9963111877441406
wheat,1,10,5,yes,U-NET,0.9202526,0.95847034,0.9493939393939393,0.9677220077220077,0.9584703632887189,0.0020713806,4.47213595499958,0.9979286193847656
wheat,1,10,5,yes,U-NET,0.9116313,0.95377314,0.945380063723259,0.9623166023166023,0.9537731516914129,0.0023040771,5.0,0.9976959228515625
wheat,1,11,1,no,U-NET,0.85799646,0.9235717,0.9169797145003756,0.9302591463414634,0.9235716988270904,0.0015411377,3.1622776601683795,0.9984588623046875
wheat,1,11,10,no,U-NET,0.60536647,0.7541786,0.9824747742963357,0.6119748594111809,0.7541785568691398,0.004600525,19.313207915827967,0.9953994750976562
wheat,1,11,10,yes,U-NET,0.0023155806,0.004620462,1.0,0.002315580549123387,0.0046204620462046205,0.011505127,85.28774824088158,0.988494873046875
wheat,1,11,10,yes,U-NET,0.8559133,0.92236346,0.9592711682743837,0.8881905391994708,0.9223634489866025,0.0017242432,9.0,0.9982757568359375
wheat,1,11,10,yes,U-NET,0.027107438,0.052784037,0.9761904761904762,0.027125372146873966,0.052784036047634375,0.011226654,60.41522986797286,0.9887733459472656
wheat,1,11,10,yes,U-NET,0.55679214,0.715307,0.981534910559723,0.5626860734369832,0.7153069806560135,0.0051651,44.04543109109048,0.9948348999023438
wheat,1,11,10,yes,U-NET,0.856228,0.92254615,0.9639509733237203,0.8845517697651339,0.9225461445575297,0.0017127991,9.486832980505138,0.9982872009277344
wheat,1,11,1,yes,U-NET,0.87477446,0.933205,0.9428238039673279,0.9237804878048781,0.9332050048123195,0.0013237,3.605551275463989,0.9986763000488281
wheat,1,11,1,yes,U-NET,0.8542857,0.9214176,0.9314641744548287,0.9115853658536586,0.9214175654853621,0.0015563965,5.385164807134504,0.998443603515625
wheat,1,11,1,yes,U-NET,0.8580907,0.92362624,0.9631774927596194,0.8871951219512195,0.9236262646300337,0.0014686584,6.0,0.9985313415527344
wheat,1,11,1,yes,U-NET,0.86774534,0.9291902,0.9184661206254654,0.9401676829268293,0.9291902071563088,0.0014343262,3.1622776601683795,0.998565673828125
wheat,1,11,1,yes,U-NET,0.8559109,0.922362,0.9374262101534829,0.9077743902439024,0.9223620522749274,0.0015296936,5.385164807134504,0.9984703063964844
wheat,1,11,5,no,U-NET,0.87406105,0.9327989,0.9005433887699654,0.967450911020697,0.9327989084086645,0.0030059814,7.615773105863909,0.9969940185546875
wheat,1,11,5,yes,U-NET,0.88281757,0.9377622,0.9085932315859323,0.9688660888024058,0.9377621778957281,0.002773285,8.06225774829855,0.9972267150878906
wheat,1,11,5,yes,U-NET,0.87978053,0.936046,0.9092728485657104,0.9644436582345657,0.9360460125332647,0.0028419495,5.830951894845301,0.9971580505371094
wheat,1,11,5,yes,U-NET,0.88799864,0.9406772,0.9402615765288088,0.94109322483637,0.940677216868535,0.0025596619,4.47213595499958,0.9974403381347656
wheat,1,11,5,yes,U-NET,0.87696755,0.93445146,0.905022376926902,0.9658588360162745,0.9344514804039021,0.002922058,7.615773105863909,0.9970779418945312
wheat,1,11,5,yes,U-NET,0.88130945,0.9369107,0.9088641277232663,0.9667433221298426,0.9369106806103206,0.0028076172,9.433981132056603,0.9971923828125
wheat,1,12,1,no,U-NET,0.9287958,0.9630836,0.9620390455531453,0.9641304347826087,0.9630836047774158,0.0015563965,3.1622776601683795,0.998443603515625
