crop,modelname,metric,stat,value
sorghum,MaskFormer,IoU,max,0.97002625
sorghum,MaskFormer,IoU,min,0.7243297
sorghum,MaskFormer,IoU,var,0.00192905
sorghum,MaskFormer,IoU,cv,4.80121911
sorghum,MaskFormer,Precision,mean,0.955886075
sorghum,MaskFormer,Precision,max,1
sorghum,MaskFormer,Precision,min,0.829707866
sorghum,MaskFormer,Precision,var,0.001320939
sorghum,MaskFormer,Precision,cv,3.802202721
sorghum,MaskFormer,Recall,mean,0.955836669
sorghum,MaskFormer,Recall,max,0.999977006
sorghum,MaskFormer,Recall,min,0.806977037
sorghum,MaskFormer,Recall,var,0.001528445
sorghum,MaskFormer,Recall,cv,4.090168854
sorghum,MaskFormer,F1,mean,0.954932821
sorghum,MaskFormer,F1,max,0.984785116
sorghum,MaskFormer,F1,min,0.840129006
sorghum,MaskFormer,F1,var,0.000607043
sorghum,MaskFormer,F1,cv,2.580102439
sorghum,SegFormer,IoU,mean,0.920448295
sorghum,SegFormer,IoU,max,0.9727716
sorghum,SegFormer,IoU,min,0.73153037
sorghum,SegFormer,IoU,var,0.001820433
sorghum,SegFormer,IoU,cv,4.635407975
sorghum,SegFormer,Precision,mean,0.959274361
sorghum,SegFormer,Precision,max,1
sorghum,SegFormer,Precision,min,0.829656556
sorghum,SegFormer,Precision,var,0.001228893
sorghum,SegFormer,Precision,cv,3.654383746
sorghum,SegFormer,Recall,mean,0.958486237
sorghum,SegFormer,Recall,max,1
sorghum,SegFormer,Recall,min,0.806842428
sorghum,SegFormer,Recall,var,0.00137499
sorghum,SegFormer,Recall,cv,3.868689684
sorghum,SegFormer,F1,mean,0.958047738
sorghum,SegFormer,F1,max,0.986197882
sorghum,SegFormer,F1,min,0.844952381
sorghum,SegFormer,F1,var,0.000567029
sorghum,SegFormer,F1,cv,2.485508768
sorghum,SegNet,IoU,mean,0.912851894
sorghum,SegNet,IoU,max,0.97082186
sorghum,SegNet,IoU,min,0.70845675
sorghum,SegNet,IoU,var,0.002225731
sorghum,SegNet,IoU,cv,5.168160879
sorghum,SegNet,Precision,mean,0.954193595
sorghum,SegNet,Precision,max,1
sorghum,SegNet,Precision,min,0.829890617
sorghum,SegNet,Precision,var,0.001570227
sorghum,SegNet,Precision,cv,4.152835001
sorghum,SegNet,Recall,mean,0.955468824
sorghum,SegNet,Recall,max,0.999961215
sorghum,SegNet,Recall,min,0.806719003
sorghum,SegNet,Recall,var,0.001660959
sorghum,SegNet,Recall,cv,4.265431349
sorghum,SegNet,F1,mean,0.953787156
sorghum,SegNet,F1,max,0.985194922
sorghum,SegNet,F1,min,0.829352883
sorghum,SegNet,F1,var,0.00070306
sorghum,SegNet,F1,cv,2.78000018
sorghum,U-NET,IoU,mean,0.919639809
sorghum,U-NET,IoU,max,0.9734337
sorghum,U-NET,IoU,min,0.7426619
sorghum,U-NET,IoU,var,0.001882684
sorghum,U-NET,IoU,cv,4.718141455
sorghum,U-NET,Precision,mean,0.957557413
sorghum,U-NET,Precision,max,1
sorghum,U-NET,Precision,min,0.829747985
sorghum,U-NET,Precision,var,0.001224734
sorghum,U-NET,Precision,cv,3.654735866
sorghum,U-NET,Recall,mean,0.959446976
sorghum,U-NET,Recall,max,1
sorghum,U-NET,Recall,min,0.806874688
sorghum,U-NET,Recall,var,0.001553553
sorghum,U-NET,Recall,cv,4.108109952
sorghum,U-NET,F1,mean,0.95759072
sorghum,U-NET,F1,max,0.986538023
sorghum,U-NET,F1,min,0.852330463
sorghum,U-NET,F1,var,0.000586629
sorghum,U-NET,F1,cv,2.529309536
wheat,DeepLabV3Plus,IoU,mean,0.871503814
wheat,DeepLabV3Plus,IoU,max,0.9363179
wheat,DeepLabV3Plus,IoU,min,0.7271602
wheat,DeepLabV3Plus,IoU,var,0.00115845
wheat,DeepLabV3Plus,IoU,cv,3.905434228
wheat,DeepLabV3Plus,Precision,mean,0.935734085
wheat,DeepLabV3Plus,Precision,max,0.990925427
wheat,DeepLabV3Plus,Precision,min,0.829656234
wheat,DeepLabV3Plus,Precision,var,0.000810829
wheat,DeepLabV3Plus,Precision,cv,3.043072024
wheat,DeepLabV3Plus,Recall,mean,0.927624021
wheat,DeepLabV3Plus,Recall,max,0.991717107
wheat,DeepLabV3Plus,Recall,min,0.806948842
wheat,DeepLabV3Plus,Recall,var,0.001166012
wheat,DeepLabV3Plus,Recall,cv,3.681116816
wheat,DeepLabV3Plus,F1,mean,0.930980518
wheat,DeepLabV3Plus,F1,max,0.967111752
wheat,DeepLabV3Plus,F1,min,0.842029851
wheat,DeepLabV3Plus,F1,var,0.000392686
wheat,DeepLabV3Plus,F1,cv,2.128542304
wheat,MaskFormer,IoU,mean,0.869961291
wheat,MaskFormer,IoU,max,0.9379679
wheat,MaskFormer,IoU,min,0.7061818
wheat,MaskFormer,IoU,var,0.001153742
wheat,MaskFormer,IoU,cv,3.904400289
wheat,MaskFormer,Precision,mean,0.935066303
wheat,MaskFormer,Precision,max,0.989971088
wheat,MaskFormer,Precision,min,0.830095081
wheat,MaskFormer,Precision,var,0.000741548
wheat,MaskFormer,Precision,cv,2.912240722
wheat,MaskFormer,Recall,mean,0.926460233
wheat,MaskFormer,Recall,max,0.99222702
wheat,MaskFormer,Recall,min,0.807254127
wheat,MaskFormer,Recall,var,0.001170684
wheat,MaskFormer,Recall,cv,3.693116575
wheat,MaskFormer,F1,mean,0.930099186
wheat,MaskFormer,F1,max,0.96799117
wheat,MaskFormer,F1,min,0.827791986
wheat,MaskFormer,F1,var,0.000393239
wheat,MaskFormer,F1,cv,2.132058058
wheat,SegFormer,IoU,mean,0.871756265
wheat,SegFormer,IoU,max,0.9348642
wheat,SegFormer,IoU,min,0.7190337
