"Comparison","diff","lwr","upr","p adj"
"2-1",0.112506153996145,0.0834874303834808,0.141524877608809,4.68736160996741e-13
"3-1",-0.358866347693524,-0.387885071306189,-0.32984762408086,4.33542091116124e-13
"4-1",-0.292649862402899,-0.321855347652477,-0.263444377153321,4.33542091116124e-13
"5-1",-0.322505945516188,-0.351524669128852,-0.293487221903524,4.33542091116124e-13
"6-1",-0.299110367132109,-0.328277633627801,-0.269943100636417,4.33542091116124e-13
"3-2",-0.471372501689669,-0.497253795919193,-0.445491207460146,4.33542091116124e-13
"4-2",-0.405156016399044,-0.431246540340703,-0.379065492457385,4.33542091116124e-13
"5-2",-0.435012099512333,-0.460893393741856,-0.409130805282809,4.33542091116124e-13
"6-2",-0.411616521128254,-0.437664256264301,-0.385568785992207,4.33542091116124e-13
"4-3",0.0662164852906252,0.0401259613489664,0.0923070092322839,8.44213587924969e-12
"5-3",0.0363604021773367,0.0104791079478134,0.0622416964068599,0.000889393685926776
"6-3",0.0597559805614154,0.0337082454253681,0.0858037156974627,1.00961716764658e-09
"5-4",-0.0298560831132885,-0.0559466070549473,-0.00376555917162968,0.0141658134703864
"6-4",-0.00646050472920973,-0.0327161432526353,0.0197951337942158,0.981814571814149
"6-5",0.0233955783840787,-0.00265215675196854,0.049443313520126,0.107349944172259
